id_imovel,imovel,telefone,fax,email,cj,num_varas_instaladas,entrancia,comarca_tjsp,dist_capital,tensao_eletrica,endereco_lougradouro,endereco_cep,endereco_municipio,endereco_uf
22,Fórum I Barra Bonita,(14) 3604-2716,Não Informado,barrabonitaadm@tjsp.jus.br,Jaú,2,Entrância Inicial,Barra Bonita,228.89,220V,"Rua Prudente de Moraes - Praça Emydio Meira , 520 - Jardim Vista Alegre",17340-102,Barra Bonita,SP
23,Fórum I Barretos,(17) 3043-9133,Não Informado,barretosadm@tjsp.jus.br,Barretos,6,Entrância Final,Barretos,387.59,110V,"Avenida Centenário da Abolição , 1500 - América",14783-195,Barretos,SP
24,Fórum Barueri - (Principal) - Desativado,Não Informado,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Rua Ministro Raphael de Barros Monteiro , 110 - Jardim dos Camargos",06410-901,Barueri,SP
25,Foro da Comarca de Bastos,(14) 3478-9601,(14) 3478-9602,bastosadm@tjsp.jus.br,Tupã,3,Entrância Inicial,Bastos,457.46,220V,"Rua XV de Novembro , 50 - Jardim Hikari",17694-002,Bastos,SP
26,Fórum Batatais,(16) 2110-1816,Não Informado,batataisadm@tjsp.jus.br,Batatais,3,Entrância Final,Batatais,311.16,110V,"Praça Doutor José Arantes Junqueira , 01 - Centro",14300-023,Batatais,SP
27,Fórum Bauru I - (Principal),Não Informado,Não Informado,bauruadm@tjsp.jus.br,Bauru,1,Entrância Final,Bauru,283.65,110V,"Rua Afonso Pena , 5-40 - Bela Vista",17060-900,Bauru,SP
28,Fórum Bebedouro - Desembargador Adriano Marrey,(17) 3313-5918,Não Informado,Não Informado,Barretos,3,Entrância Intermediária,Bebedouro,345.65,110V,"Avenida Oswaldo Perrone , 218 - Parque Eldorado",14706-136,Bebedouro,SP
29,Fórum da Comarca de Bertioga,Não Informado,(13) 2101-1403,bertiogaadm@tjsp.jus.br,Santos,3,Entrância Inicial,Bertioga,60.98,220V,"Avenida Anchieta , 162/192 - Centro",11250-039,Bertioga,SP
30,Fórum da Comarca de Bilac - (Coriolano Pompeu Filho),(18) 3659-9314,Não Informado,bilacadm@tjsp.jus.br,Araçatuba,1,Entrância Inicial,Bilac,460.54,220V,"Rua Olavo Bilac , 466 - Centro",16210-000,Bilac,SP
31,Fórum I Birigüi,(18) 3211-8227,Não Informado,biriguiadm@tjsp.jus.br,Araçatuba,6,Entrância Intermediária,Birigui,456.07,110V,"Rua Faustino Segura , 214 - Parque São Vicente",16200-370,Birigui,SP
32,Fórum Boituva I  (Ofícios Judiciais),Não Informado,Não Informado,boituvaadm@tjsp.jus.br,Itu,4,Entrância Inicial,Boituva,109.74,220V,"Rua Manoel dos Santos Freire , 161 - Centro",18550-073,Boituva,SP
33,"Fórum ""Desembargador Antonio Luis Chaves Camargo""",(16) 3266-1010,Não Informado,Não Informado,Araraquara,1,Entrância Inicial,Borborema,329.53,110V,"Rua Joaquim Martins Carvalho , 676 - Centro",14955-000,Borborema,SP
35,Fórum Bragança Paulista - Professor Waldemar Martins Ferreira,(11) 3404-5835,Não Informado,bragancaadm@tjsp.jus.br,Bragança Paulista,7,Entrância Final,Bragança Paulista,66.96,110V,"Avenida dos Imigrantes , 1501 - Jd. America",12902-000,Bragança Paulista,SP
36,Fórum I Brodowski,(11) 3116-9802,(11) 3116-9801,brodowskiadm@tjsp.jus.br,Batatais,1,Entrância Inicial,Brodowski,303.17,110V,"Avenida Papa João XXIII, 1550 , 1550 - Jd. Champagnat",14340-000,Brodowski,SP
37,Fórum Brotas - Desembargador Júlio D´Elboux Guimarães,(14) 3654-7703,Não Informado,brotasadm@tjsp.jus.br,Rio Claro,1,Entrância Inicial,Brotas,207.53,110V,"Praça Nove de Julho , 26 - Centro",17380-000,Brotas,SP
38,Fórum Buritama,(18) 3691-9721,Não Informado,buritamaadm@tjsp.jus.br,Araçatuba,3,Entrância Inicial,Buritama,454.5,220V,"Avenida Frei Marcelo Manilia , 700 - Centro",15290-065,Buritama,SP
39,"Fórum ""Desembargador Geraldo de Faria Lemos Pinheiro""",(11) 5132-1054,Não Informado,cabreuvaadm@tjsp.jus.br,Itu,2,Entrância Inicial,Cabreúva,57.3,110V,"Rua Adhemar Clemente Nunes , 11 - Jacaré",13318-136,Cabreúva,SP
40,FÓRUM CAÇAPAVA - CÍVEL / CEJUSC - PRAÇA DA BANDEIRA,(12) 3221-5664,(12) 0000-0000,cacapavaadm@tjsp.jus.br,Taubaté,1,Entrância Intermediária,Caçapava,107.09,220V,"Praça da Bandeira , 177 - Centro",12281-630,Caçapava,SP
41,Ministro José Rodrigues Alves Sobrinho,(12) 2138-5414,Não Informado,cachptaadm@tjsp.jus.br,Guaratinguetá,3,Entrância Inicial,Cachoeira Paulista,193.2,110V,"Praça Prefeito Prado Filho , s/n - Centro",12630-000,Cachoeira Paulista,SP
42,Fórum Caconde I - (Dr. Antônio de Queiroz Filho),(19) 3662-7812,Não Informado,cacondeadm@tjsp.jus.br,Casa Branca,1,Entrância Inicial,Caconde,224.49,110V,"Praça Coronel Gustavo Ribeiro , 50 - Centro",13770-000,Caconde,SP
43,Fórum Cafelândia I - (Principal),(14) 3554-9704,Não Informado,cafelandiaadm@tjsp.jus.br,Lins,1,Entrância Inicial,Cafelândia,361.56,110V,"Avenida Dionísia Zucchi , 330 - centro",16503034,Cafelândia,SP
44,Fórum de Caieiras I,(11) 2189-9204,Não Informado,caieirasadm@tjsp.jus.br,Jundiaí,2,Entrância Intermediária,Caieiras,23.09,110V,"Rua Doutor Armando Pinto , 360 - Centro",07700-175,Caieiras,SP
45,Fórum I Cajamar - (Desembargador Marcos Nogueira Garcez),(11) 3245-8015,Não Informado,Não Informado,Jundiaí,2,Entrância Intermediária,Cajamar,32.56,220V,"Avenida Joaquim Janus Penteado , 96 - Distrito de Jordanésia",07786-520,Cajamar,SP
46,Fórum Cajuru (Dr. Amaury Manço),(16) 3667-3033,Não Informado,cajuruadm@tjsp.jus.br,Ribeirão Preto,1,Entrância Inicial,Cajuru,261.89,110V,"Rua José Bonifácio , 817 - Centro",14240-000,Cajuru,SP
47,Fórum Campinas I - Palácio da Justiça,(19) 2129-6451,Não Informado,campinasadm@tjsp.jus.br,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Rua Regente Feijó , s/nº - Centro",13019-900,Campinas,SP
48,Foro Regional de Vila Mimosa - Campinas (Des. Antonio Carlos A. Braga),(19) 2101-9001,(19) 0000-0000,vimimosaadm@tjsp.jus.br,Campinas,9,Entrância Final,Campinas,83.55,110V,"Rua Dionisio Cazotti , 719 - Vila Mimosa",13050-050,Campinas,SP
49,Fórum de Campo Limpo Paulista,(11) 3378-5240,Não Informado,campolimpoadm@tjsp.jus.br,Jundiaí,2,Entrância Intermediária,Campo Limpo Paulista,40.92,220V,"Rua Marechal Deodoro da Fonseca , 550 - Vila Tavares",13230-130,Campo Limpo Paulista,SP
50,Fórum Campos do Jordão I - (Des.José Carlos de Macedo Soares),(12) 2144-1407,(12) 2144-1406,camposjordaoadm@tjsp.jus.br,Taubaté,2,Entrância Inicial,Campos do Jordão,139.67,110V,"Avenida Doutor Januário Miráglia , 1200 - Vila Abernéssia",12460-000,Campos do Jordão,SP
51,Fórum Cananéia - JOAQUIM GUEDES ALCOFORADO,(13) 3851-5606,Não Informado,cananeiaadm@tjsp.jus.br,Registro,1,Entrância Inicial,Cananéia,209.11,220V,"Rua Pero Lobo , 75 - CENTRO",11990-000,Cananéia,SP
52,Fórum Cândido Mota,(18) 2142-5151,Não Informado,candidomotaadm@tjsp.jus.br,Assis,2,Entrância Inicial,Cândido Mota,393.71,220V,"Praça Antonio Pípolo , s/n - Centro",19880-047,Cândido Mota,SP
53,Fórum Capivari,(19) 3491-1377,(19) 2146-7056,capivariadm@tjsp.jus.br,Piracicaba,2,Entrância Inicial,Capivari,108.23,110V,"Rua Doutor João Adolfo Stein , 171 - Pão de Açucar",13360-000,Capivari,SP
54,Fórum  de Caraguatatuba,(12) 3203-1901,Não Informado,caraguaadm@tjsp.jus.br,Caraguatatuba,4,Entrância Final,Caraguatatuba,124.88,220V,"Avenida Rio Grande do Sul , 1815 - indaiá",11665030,Caraguatatuba,SP
55,Fórum Carapicuíba I - (Des. Coaracy Lacerda Madureira),(11) 4506-1792,Não Informado,carapicuibaadm@tjsp.jus.br,Osasco,7,Entrância Final,Carapicuíba,20.58,110V,"Avenida Des. Eduardo Cunha de Abreu , 215 - Vila Municipal",06328-330,Carapicuíba,SP
56,Fórum Cardoso,(17) 3453-1002,Não Informado,cardosoadm@tjsp.jus.br,Votuporanga,1,Entrância Inicial,Cardoso,512.8,110V,"Rua Urias de Paula e Silva , 1351 - Jd Gouvêa",15570-000,Cardoso,SP
57,Fórum Casa Branca,(19) 2160-1104,Não Informado,casabrancaadm@tjsp.jus.br,Casa Branca,3,Entrância Intermediária,Casa Branca,202.58,110V,"Praça Ministro Costa Manso , 78 - Centro",13700-035,Casa Branca,SP
58,"Fórum ""Dr. Renato Bueno Netto""",(17) 3311-4400,Não Informado,catanduvaadm@tjsp.jus.br,Catanduva,7,Entrância Final,Catanduva,359.94,220V,"Parque da Américas , 55 - Centro",15800-032,Catanduva,SP
59,Fórum Cerqueira César,(14) 2174-1151,Não Informado,cerqcesaradm@tjsp.jus.br,Avaré,3,Entrância Inicial,Cerqueira César,264.58,110V,"Rua Olimpio Pavan , 355 - Centro",18760015,Cerqueira César,SP
60,Fórum Desembargador Dirceu Rocha Lima,(15) 3415-3961,(15) 3415-3962,cerquilhoadm@tjsp.jus.br,Piracicaba,1,Entrância Inicial,Cerquilho,120.85,110V,"Avenida Washington Luiz , 2.501 - Chave Barros",18523-480,Cerquilho,SP
61,Fórum Chavantes,(14) 3342-9917,Não Informado,chavantesadm@tjsp.jus.br,Ourinhos,1,Entrância Inicial,Chavantes,318.89,220V,"Avenida Governador Adhemar Pereira de Barros , 1007 - Chavantes Novo",18970-284,Chavantes,SP
62,Fórum Colina - Desembargador Alcides Faro,(17) 2141-1203,Não Informado,colinaadm@tjsp.jus.br,Barretos,2,Entrância Inicial,Colina,371.28,110V,"Rua Nestor Silveira Guimarães , 45 - CECAP",14770-000,Colina,SP
63,Fórum I Conchal,(19) 3866-9902,Não Informado,conchaladm@tjsp.jus.br,Mogi Mirim,1,Entrância Inicial,Conchal,146.17,110V,"Rua XV de Novembro , 449 - Centro",13835-000,Conchal,SP
64,Fórum Conchas V [Desativado],(14) 3845-1023,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Rua Goiás , 521 - Centro",18570-000,Conchas,SP
65,Fórum Cordeirópolis,(19) 3556-6604,(19) 3546-2500,Não Informado,Limeira,6,Entrância Inicial,Cordeirópolis,145.29,110V,"Rua Sete de Setembro , 350/376 - Centro",13490-000,Cordeirópolis,SP
66,Desembargador Rubens Andrade de Noronha,(19) 3204-1155,Não Informado,cosmopolisadm@tjsp.jus.br,Campinas,3,Entrância Inicial,Cosmópolis,115.49,110V,"R. RAMOS DE AZEVEDO , 365 - Centro",13150-025,Cosmópolis,SP
67,Fórum Cotia I - Theodomiro Dias,(11) 4506-1233,Não Informado,cotiaadm@tjsp.jus.br,Itapecerica da Serra,6,Entrância Intermediária,Cotia,29.5,110V,"Rua Topázio , 585 - Jardim nomura",06717-235,Cotia,SP
68,Fórum I Cravinhos,(16) 2122-1056,Não Informado,cravinhosadm@tjsp.jus.br,Ribeirão Preto,3,Entrância Inicial,Cravinhos,269.98,110V,"Avenida Fagundes , 29 - centro",14140091,Cravinhos,SP
69,Fórum I Cruzeiro,(12) 2122-6822,Não Informado,cruzeiroadm@tjsp.jus.br,Guaratinguetá,3,Entrância Intermediária,Cruzeiro,202.42,110V,"Rua Francisco Marzano , 100 - Vila Celestina",12710-900,Cruzeiro,SP
70,Fórum Cubatão - I,(13) 3325-6716,Não Informado,cubataoadm@tjsp.jus.br,Santos,4,Entrância Intermediária,Cubatão,44.16,220V,"Avenida Joaquim Miguel Couto , 320 - Jd. São Francisco",11500-005,Cubatão,SP
71,Fórum I Cunha (Desembargador Hildebrando Dantas de Freitas),(12) 2138-3953,(12) 2138-3953,cunhaspadm@tjsp.jus.br,Guaratinguetá,1,Entrância Inicial,Cunha,179.07,110V,"Praça Doutor Prudente Guimarães , 12 - Centro",12530-000,Cunha,SP
72,FÓRUM DA COMARCA DE DESCALVADO,(19) 2145-9001,Não Informado,descalvadoadm@tjsp.jus.br,São Carlos,2,Entrância Inicial,Descalvado,208.75,220V,"Praça Dr. Luciano Esteves , s/n - Centro",13690-000,Descalvado,SP
73,Fórum Diadema - Criminal,(11) 2763-8688,Não Informado,diademaadm@tjsp.jus.br,São Bernardo do Campo,4,Entrância Final,Diadema,15.4,110V,"Avenida Sete de Setembro , 399 - Vila Conceição",09912-010,Diadema,SP
74,Fórum Dois Córregos,(14) 3632-9011,Não Informado,doiscorregosadm@tjsp.jus.br,Jaú,1,Entrância Inicial,Dois Córregos,221.7,110V,"Praça Francisco Simões , 142 - Centro",17300-055,Dois Córregos,SP
75,Fórum Dracena I - (Principal),(18) 2137-1401,Não Informado,dracenaadm@tjsp.jus.br,Dracena,4,Entrância Intermediária,Dracena,552.86,110V,"Rua Bolívia , 137 - Jd América",17911-250,Dracena,SP
76,Fórum da Comarca de Duartina (Prof. Dr. Silvio Marques Junior),(14) 3282-8801,Não Informado,duartinaadm@tjsp.jus.br,Bauru,2,Entrância Inicial,Duartina,310.12,110V,"Rua Sete de Setembro , 486 - centro",17470-015,Duartina,SP
77,Fórum Eldorado Paulista I,(13) 3871-7406,Não Informado,eldoradoadm@tjsp.jus.br,Registro,0,Entrância Inicial,Eldorado,184.46,110V,"Rua Professor Francisco Canto , 14 - Centro",11960-000,Eldorado,SP
78,Fórum Desembargador Gilberto Valente da Silva - Comarca de Embu das Artes,(11) 4506-1838,Não Informado,embuadm@tjsp.jus.br,Itapecerica da Serra,6,Entrância Final,Embu das Artes,24.71,110V,"Av. Vereador Jorge de Souza , 855 - Tingidor",06803270,Embu das Artes,SP
79,Fórum Embu-Guaçu,(11) 4506-1346,Não Informado,embuguacuadm@tjsp.jus.br,Itapecerica da Serra,1,Entrância Intermediária,Embu-Guaçu,36.26,220V,"Rua Boa Vista , 10 - Centro",06900-000,Embu-Guaçu,SP
80,Fórum Espírito Santo do Pinhal I,(19) 2157-1356,Não Informado,pinhaladm@tjsp.jus.br,São João da Boa Vista,2,Entrância Inicial,Espírito Santo do Pinhal,151.27,110V,"Avenida 9 de Julho , 90 - Centro",13990-000,Espírito Santo do Pinhal,SP
81,Fórum Estrela D'Oeste,(17) 3833-9601,Não Informado,estreladoesteadm@tjsp.jus.br,Fernandópolis,2,Entrância Inicial,Estrela dOeste,531.18,220V,"Rua Minas Gerais , s/n - centro",15650-037,Estrela dOeste,SP
82,Fórum Desembargador Edmond Acar,(14) 3308-9978,Não Informado,farturaadm@tjsp.jus.br,Avaré,1,Entrância Inicial,Fartura,293.66,110V,"Rua Anacleto Gonçalves Neves , 250 - Centro",18870-007,Fartura,SP
83,Fórum Fernandópolis I,Não Informado,Não Informado,fernandopolisadm@tjsp.jus.br,Fernandópolis,8,Entrância Final,Fernandópolis,519.93,110V,"Avenida Raul Gonçalves Júnior , 850 - Jardim Santa Rita",15610-000,Fernandópolis,SP
84,"Fórum de Ferraz de Vasconcelos ""Desembargador Ruy Toledo de Assumpção""",(11) 4506-1454,Não Informado,ferrazadm@tjsp.jus.br,Mogi das Cruzes,3,Entrância Final,Ferraz de Vasconcelos,27.23,110V,"Av. Santos Dumont , 1.535 - Jardim Vista Alegre",08531-100,Ferraz de Vasconcelos,SP
86,Fórum Francisco Morato I - Vanderlei Aparecido Borges,(11) 4506-1531,Não Informado,francmoratoadm@tjsp.jus.br,Jundiaí,3,Entrância Final,Francisco Morato,31.6,110V,"Rua João Mendes Júnior , 626 - Jardim Professor Francisco Morato",07910-220,Francisco Morato,SP
87,Fórum Franco da Rocha,(11) 4322-9438,Não Informado,francorochaadm@tjsp.jus.br,Jundiaí,5,Entrância Intermediária,Franco da Rocha,26.79,110V,"Praça Ministro Nelson Hungria , 01 - Centro",07850-900,Franco da Rocha,SP
88,Comarca de Gália,(14) 3274-9801,Não Informado,galiaadm@tjsp.jus.br,Marília,1,Entrância Inicial,Gália,329.8,110V,"Avenida São José , 431 - Centro",17450-001,Gália,SP
89,Fórum I Garça,(14) 3588-1901,Não Informado,garcaadm@tjsp.jus.br,Marília,3,Entrância Inicial,Garça,343.22,110V,"Praça Doutor Martino Funchal de Barros , 50 - Willians",17402-059,Garça,SP
90,Fórum General Salgado (ARGYMIRO ACAYABA DE TOLEDO),(17) 3461-3807,Não Informado,Não Informado,Fernandópolis,1,Entrância Inicial,General Salgado,501.19,220V,"Rua Azílio Antonio do Prado , 991 - centro",15300-000,General Salgado,SP
91,Fórum Getulina I - (Principal),(14) 2185-5108,Não Informado,getulinaadm@tjsp.jus.br,Lins,1,Entrância Inicial,Getulina,389.8,110V,"Rua Doutor Carlos de Campos , 660 - Centro",16450-000,Getulina,SP
92,Fórum da Comarca de Guaíra I,(17) 3017-1511,(17) 3017-1504,guairaadm@tjsp.jus.br,Barretos,2,Entrância Inicial,Guaíra,398.52,110V,"Avenida 17 , 414 - Centro",14790-000,Guaíra,SP
93,Fórum Guará - Desembargador Valentim Alves da Silva,(11) 3249-5302,Não Informado,guaraadm@tjsp.jus.br,Ituverava,1,Entrância Inicial,Guará,367.89,110V,"Rua Carlos de Campos , 260 - Centro",14580-000,Guará,SP
94,Fórum I Guararapes,(18) 3606-8506,Não Informado,guararapesadm@tjsp.jus.br,Araçatuba,2,Entrância Inicial,Guararapes,484.03,110V,"Rua Luiz Lincoln de Oliveira , s/n - Centro",16700-000,Guararapes,SP
95,Fórum I Guararema - (Dr. Francisco Xavier Moretz Sohm),(11) 2838-7659,Não Informado,guararemaadm@tjsp.jus.br,Mogi das Cruzes,1,Entrância Inicial,Guararema,63.05,220V,"Rua Expedicionário Brasílio Pinto de Almeida , 42 - Centro",08900-000,Guararema,SP
96,Fórum Guaratinguetá I (Principal),Não Informado,Não Informado,irana@tjsp.jus.br,Guaratinguetá,0,Entrância Final,Guaratinguetá,168.46,110V,"Av. Dr. Ariberto Pereira da Cunha , 280 - Alberto Byington",12516-410,Guaratinguetá,SP
97,"Fórum da Comarca de Guariba ""Desembargador Humberto Andrade Junqueira""",(16) 3231-8452,Não Informado,guaribaadm@tjsp.jus.br,Jaboticabal,2,Entrância Inicial,Guariba,293.16,110V,"Rua Feres Sadalla , 761 - Centro",14840-000,Guariba,SP
98,Fórum Guarujá I -  CÍVEL/CRIMINAL,(13) 3346-4829,Não Informado,guarujaadm@tjsp.jus.br,Santos,7,Entrância Final,Guarujá,62.8,110V,"Rua Silvio Daige , 280 - Enseada",11440550,Guarujá,SP
100,Fórum Guarulhos I - (Fórum Criminal - Dr. Murilo Matos Faria),Não Informado,Não Informado,guarulhosadm@tjsp.jus.br,Guarulhos,11,Entrância Final,Guarulhos,14.13,110V,"Rua José Maurício , 103 - Centro",07011-060,Guarulhos,SP
101,FÓRUM DA COMARCA DE HORTOLÂNDIA,(19) 3309-4769,(19) 3309-4767,hortolandiaadm@tjsp.jus.br,Americana,7,Entrância Final,Hortolândia,97.2,110V,"RUA ÍMOLA , 75 - JARDIM RESIDENCIAL FIRENZE",13189-212,Hortolândia,SP
102,COMARCA DE IACANGA,(14) 3294-9802,Não Informado,iacangaadm@tjsp.jus.br,Araraquara,1,Entrância Inicial,Iacanga,306.62,110V,"Rua Padre Jorge Mattar , 150 - Centro",17180-041,Iacanga,SP
103,Fórum Ibaté,Não Informado,Não Informado,ibateadm@tjsp.jus.br,São Carlos,1,Entrância Inicial,Ibaté,225.49,220V,"Rua Albano Buzo , 367 - Jd. Mariana",14817-012,Ibaté,SP
104,"Fórum ""Dr. Aderson Perdigão Nogueira""",(16) 3352-1803,(16) 99999-9999,ibitingaadm@tjsp.jus.br,Araraquara,3,Entrância Intermediária,Ibitinga,300.4,110V,"Rua Prudente de Moraes , 570 - Centro",14940-103,Ibitinga,SP
105,Fórum Ibiúna I - (Principal),(15) 3416-2801,Não Informado,ibiunaadm@tjsp.jus.br,Sorocaba,2,Entrância Intermediária,Ibiúna,61.0,110V,"Praça Monsenhor Antonio Pepe , 2 - Centro",18150-000,Ibiúna,SP
106,Fórum Iepê I,(18) 3264-9908,Não Informado,iepeadm@tjsp.jus.br,Presidente Prudente,1,Entrância Inicial,Iepê,464.65,220V,"Rua Minas Gerais , 343 - Centro",19640-000,Iepê,SP
107,"Fórum ""David Pimentel""",(16) 3173-9801,Não Informado,igarapavaadm@tjsp.jus.br,Ituverava,1,Entrância Inicial,Igarapava,406.77,110V,"Rua Capitão Antonio Augusto Maciel , 130 - centro",14540-000,Igarapava,SP
108,Fórum Iguape  (Destivado),Não Informado,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Rua Nove de Julho , 122 - CENTRO",11920-000,Iguape,SP
109,Fórum Iguape I,(13) 3848-5407,Não Informado,Não Informado,Registro,2,Entrância Inicial,Iguape,159.16,110V,"Rua dos Estudantes , 106 - CENTRO",11920-000,Iguape,SP
110,Fórum da Comarca de Ilha Solteira,(18) 2124-1123,Não Informado,ilhasolteiraadm@tjsp.jus.br,Andradina,3,Entrância Inicial,Ilha Solteira,596.13,110V,"Av. Brasil Norte , 1.680 - Zona Norte",15385-136,Ilha Solteira,SP
111,Fórum Dr. Manoel Pedro Pimentel,(12) 2147-1259,Não Informado,jlvieira@tjsp.jus.br,Caraguatatuba,2,Entrância Inicial,Ilhabela,132.64,110V,"Rua Benedito dos Anjos Sampaio , 29 - Barra Velha",11630-091,Ilhabela,SP
112,Fórum Indaiatuba I - (Principal),(19) 3309-2727,Não Informado,indaiatubaadm@tjsp.jus.br,Itu,9,Entrância Final,Indaiatuba,78.26,220V,"Rua Ademar de Barros , 774 - Centro",13330-901,Indaiatuba,SP
113,Fórum Ipaussu I,(14) 3345-8605,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Praça Doutor Breno Noronha , 374 - centro",18950-024,Ipaussu,SP
